hidden_layers,neurons,train_loss,val_loss,train_acc,val_acc,f1_score,training_time,convergence_epoch
1,10,0.18466073274612427,0.19870240986347198,0.9318515658378601,0.9221447110176086,0.9224430351336516,72.49204564094543,Não convergiu
1,20,0.17191600799560547,0.19579216837882996,0.9352498054504395,0.9258171319961548,0.9258876004761282,70.80506157875061,Não convergiu
1,30,0.168601393699646,0.19780831038951874,0.9383724927902222,0.9258171319961548,0.9260490940025112,74.58722734451294,Não convergiu
1,40,0.16709843277931213,0.19886530935764313,0.9383724927902222,0.9269188642501831,0.92658134062328,74.59551215171814,Não convergiu
1,50,0.16523241996765137,0.19482269883155823,0.9381888508796692,0.9265515804290771,0.9266196143412357,100.9984655380249,Não convergiu
1,60,0.1627347320318222,0.1912952959537506,0.9390154480934143,0.9272860884666443,0.9275652529592343,72.75395774841309,Não convergiu
1,70,0.16553691029548645,0.19871972501277924,0.9401175379753113,0.9272860884666443,0.9268498391496341,79.03495049476624,Não convergiu
1,80,0.1624598205089569,0.19897666573524475,0.9385561943054199,0.9287550449371338,0.9286694308901922,71.51850771903992,Não convergiu
1,90,0.16195040941238403,0.1911923885345459,0.9389235973358154,0.9280205368995667,0.9281624948050762,71.43370842933655,Não convergiu
1,100,0.16076534986495972,0.18849942088127136,0.9380051493644714,0.926184356212616,0.9262278380690556,70.79810929298401,Não convergiu
2,10,0.18000918626785278,0.20609460771083832,0.9332292675971985,0.9247153997421265,0.9245018222221139,76.27832579612732,Não convergiu
2,20,0.16398219764232635,0.21016137301921844,0.9382807016372681,0.9221447110176086,0.9220431115099679,76.19696378707886,Não convergiu
2,30,0.15525144338607788,0.21143564581871033,0.9408523440361023,0.9225119352340698,0.9222591046283376,69.73327255249023,Não convergiu
2,40,0.14978338778018951,0.20960338413715363,0.9425973296165466,0.9269188642501831,0.9267010919648777,119.25346732139587,Não convergiu
2,50,0.15008296072483063,0.21280252933502197,0.9451689720153809,0.9265515804290771,0.9259835136056188,134.7279942035675,Não convergiu
2,60,0.146462082862854,0.22283974289894104,0.9442505240440369,0.9217774271965027,0.9212911475306786,138.0553617477417,Não convergiu
2,70,0.14369647204875946,0.21252833306789398,0.9466385245323181,0.922879159450531,0.9225838824789397,144.49644351005554,Não convergiu
2,80,0.1429075449705124,0.2111983597278595,0.9446179270744324,0.922879159450531,0.9228568935974295,4628.118855714798,Não convergiu
2,90,0.13889871537685394,0.21199931204319,0.9459037184715271,0.9243481159210205,0.9237917384800017,50.91325831413269,Não convergiu
2,100,0.1409994512796402,0.21317443251609802,0.943975031375885,0.9265515804290771,0.9262643732605749,87.51250052452087,Não convergiu
3,10,0.17742694914340973,0.21389847993850708,0.9342395067214966,0.9254498481750488,0.9254732944637019,79.86650919914246,Não convergiu
3,20,0.1628197282552719,0.21886219084262848,0.9367192983627319,0.9254498481750488,0.9251524961607382,77.26263427734375,Não convergiu
3,30,0.14680373668670654,0.21287211775779724,0.9420462846755981,0.922879159450531,0.922839043507688,95.07174801826477,Não convergiu
3,40,0.1421436071395874,0.22115325927734375,0.9466385245323181,0.9243481159210205,0.9242303358838383,130.96588611602783,Não convergiu
3,50,0.1338646560907364,0.2164989560842514,0.9465466737747192,0.9320602416992188,0.931898185946066,110.69264650344849,Não convergiu
3,60,0.13129949569702148,0.24174465239048004,0.9490264654159546,0.9210429787635803,0.9208528696225073,76.04389357566833,Não convergiu
3,70,0.12989528477191925,0.2421734631061554,0.949669361114502,0.9210429787635803,0.920864545801119,112.31618237495422,Não convergiu
3,80,0.12331284582614899,0.24186517298221588,0.9507715106010437,0.9250826239585876,0.924722636444905,143.34942150115967,Não convergiu
3,90,0.1266767531633377,0.23216764628887177,0.9498530626296997,0.9247153997421265,0.9246474060523938,128.04005217552185,Não convergiu
3,100,0.12515917420387268,0.254189133644104,0.9516899585723877,0.9181050062179565,0.9182566801119039,79.90227723121643,Não convergiu
